subject_id,object_id
11424,10301427
11424,4502142
11425,932586
11426,20098970
11426,37756
11426,34669510
11426,214609
11427,907347
11432,102205
11435,102205
11436,42889
11436,7194062
11438,35758
11439,36774
11442,233040
11442,595658
11442,768186
11446,20980497
11446,1229765
11446,16391167
11448,1293220
11448,17320256
11451,357279
11451,1801887
11456,214609
11456,124291
11456,31450902
11460,113518695
11460,8205328
11460,2424752
11460,386724
11461,3882459
11461,626707
11464,15306431
11464,29888707
11464,16000047
11464,39546
11465,107715
11465,30337763
11465,2672914
11466,3387041
11466,181175
11468,11016
11469,11438
11469,214609
11469,103382
11469,206615
11471,133250
11472,3406743
11473,14632398
11474,214609
11475,7048977
11500,123410660
11500,3386703
11500,123410660
11500,30337763
11500,107715
11500,1991596
11500,181175
11538,122766417
11538,186619
11547,18335
11547,945733
11563,246672
11567,191290
11567,837414
11567,11563
11567,173853
11606,28920044
11629,1914636
11629,36649
11631,12356615
11631,901
11631,373021
11633,1914636
11634,17310537
11634,47407603
11635,184485
11639,184485
11639,747883
11640,1914636
11650,2695280
11651,12725
11651,56298508
11652,98690850
11652,181175
11652,107715
11653,116961643
11653,210729
11656,6867168
11656,12492106
11656,11653
11658,210729
11658,6867168
11660,21198
11660,120208
11660,1156402
11661,5268834
11663,3505845
11663,16332653
11691,750458
11691,179076
11693,189539
11693,247506
11707,27077054
11707,13226383
11756,465299
11765,16102139
11765,1344851
11765,30242023
11788,136705410
11788,25306
11978,22299433
11990,11398090
11990,2996394
11995,1490716
12029,2057971
12029,9332
12029,1299714
12078,12136
12078,133212
12078,1216998
12078,18554796
12100,7128792
12100,212434
12117,43238
12117,192355
12117,25403900
12117,235352
12117,2643145
12131,937228
12132,3622126
12132,130788
12135,12136
12136,2057971
12136,2438541
12136,2996394
12140,8386
12140,12034612
12143,82794
12143,6313217
12143,15642566
12147,7189713
12147,16681739
12147,19829125
12167,1441305
12167,1361144
12174,12136
12174,16956975
12184,44512
12184,1369234
12184,5422048
12187,804539
12187,12140
12187,178859
12187,50377176
12192,3392853
12192,3631290
12192,1284347
12198,131345497
12198,18123741
12201,10528974
12202,3010352
12202,12040808
12202,31836626
12204,12136
12204,609748
12204,18553247
12204,4293079
12204,506680
12204,18123741
12206,18556224
12206,18553586
12206,2661443
12214,89415750
12214,12353899
12214,949302
12214,2438541
12214,1928978
12214,12136
12271,82604
12277,391414
12280,83620
12280,618123
12280,811979
12280,2221906
12284,924286
12284,2466889
12284,12376661
12284,11794693
12284,355304
12284,121359
12284,811979
12314,1322005
12314,1394771
12321,8171
12321,30344217
12321,600590
12323,2466889
12323,811979
12323,264661
12323,332907
12323,121359
12370,12037703
12370,2366155
12408,39546
12408,2041172
12453,791801
12458,136387329
12478,1243043
12483,395
12483,816264
12485,937228
12491,13276
12493,189771
12503,11756524
12503,8424307
12503,724975
12507,211548
12507,4751134
12507,30092280
12507,208395
12507,22808481
12507,306610
12507,1541599
12507,484298
12507,875399
12510,849425
12510,484298
12510,1517914
12510,65056565
12510,207961
12510,1541599
12510,5155294
12511,83620
12511,30327093
12511,391414
12511,1058733
12516,41176
12518,41176
12518,811979
12537,391414
12537,2465790
12562,23540
12566,220659
12570,12280
12581,16513904
12599,878077
12623,79782
12623,17028492
12638,9378373
12639,34379
12681,36649
12681,37260
12684,13427002
12684,8187769
12684,11042
12705,1138571
12705,1522115
12705,3958441
12725,11379
12725,1293220
12725,1522115
12739,348091
12739,1522115
12739,11016
12748,889659
12748,936791
12748,1522115
12748,42501
12757,6018565
12760,178185
12774,1107656
12781,1107656
12783,15077303
12791,11897048
12791,9180322
12796,1194773
12796,110155210
12797,39535649
12800,9180315
12800,9180311
12802,3733190
12802,49394
12806,39546
12829,56061
12870,5376832
12870,79529
12870,757138
12876,130368
12916,11567
12916,11563
13082,12819913
13082,238323
13085,1388725
13085,3300024
13085,82480
13136,47461344
13136,1063801
13136,1348645
13136,49848
13136,732577
13143,123421325
13143,25513701
13143,112826975
13143,66523628
13143,1568840
13147,66591855
13147,112826975
13147,28659665
13184,15197056
13186,234901
13194,3314483
13194,13184
13228,185217
13233,113773097
13233,3712597
13233,866153
13241,25308
13241,42527
13261,84435149
13261,135411960
13261,1365365
13261,19359564
13266,27238206
13266,7493597
13266,5159627
13266,182940
13266,749316
13266,5004791
13266,746549
13266,477248
13270,27238206
13270,749316
13276,3573026
13276,113389041
13290,40050
13302,866153
13302,3712597
13314,866153
13317,26868224
13317,185217
13317,26868628
13393,1683302
13393,102428795
13393,748611
13499,1436963
13632,202265
13681,2578402
13691,15710804
13691,23442
13691,28550993
13691,12529452
13698,11410
13705,839546
13705,6405028
13707,517596
13741,166142
13741,522972
13741,1077784
13742,1065579
13890,9262
13905,161524
13961,2199864
13961,186361
13961,696617
13963,13961
13963,1230779
14001,40056
14001,78908682
14001,30113732
14001,7397
14075,1260632
14076,73397452
14076,949861
14083,8142
14090,135438181
14090,95918226
14092,137884967
14092,1076486
14092,134497005
14092,137884973
14093,50320205
14116,43627
14116,11368
14189,2784655
14212,2285706
14212,895526
14212,83307
14296,32635
14298,1314278
14350,15265344
14350,11033
14373,36963
14402,3841820
14402,19793459
14406,3841820
14406,308229
14406,19793459
14408,10376408
14408,19793459
14408,9398093
14420,768855
14624,654253
14624,56274178
14639,3545649
14639,14001
14644,14001
14644,22907861
14645,676202
14645,14001
14656,9135
14659,17335294
14659,80071
14659,391414
14660,806880
14660,17335294
14672,19832917
14674,121916
14674,26972858
14712,15197056
14712,28791169
14745,11631761
14748,14745
14875,1913135
14880,116971368
14880,111743673
14880,3773693
14890,57583712
14890,212920
14890,3558289
14894,3773693
14908,333170
14928,13334890
14952,11460
14952,1065579
14963,15026
14970,106070396
14970,15276
14978,117090135
14978,628983
14982,11685431
15013,223571
15026,129006002
15026,14745
15032,11024
15033,19793980
15089,1048835
15089,2824645
15089,13220204
15089,41773366
15148,39546
15148,834028
15148,3773693
15179,66568682
15179,1847641
15252,3758612
15252,14928
15254,14970
15262,25653
15266,105999
15272,15276
15272,14928
15276,105999
15284,1048835
15284,2659904
15290,194112
15290,211364
15292,3796713
15315,47069
15315,9394813
15324,20719696
15324,52105
15324,82794
15326,7331102
15326,16697828
15326,7632070
15328,1439598
15328,1751850
15328,2424752
15333,184439
15333,2535318
15333,187931
15334,855451
15334,15284
15334,13221722
15416,10301427
15416,11578774
15416,2431196
15664,1540416
15783,15618781
15783,109734237
15783,123421533
15783,768186
15783,41321608
15788,25401445
15788,747699
15788,8142
15807,26962795
15807,112826975
15808,118917926
15808,1480972
15808,125566311
15835,1107656
15888,11446
